"id","name","authority_type","region","councillors_current","mayors_current","governing_body_elected_total","election_year","source_url","notes"
"waitomo","Waitomo","territorial authority","Waikato","6","1","7","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"taupo","Taupō","territorial authority","Waikato","12","1","13","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"wbop","Western Bay of Plenty","territorial authority","Bay of Plenty","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"tauranga","Tauranga City","territorial authority","Bay of Plenty","9","1","10","2024","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Tauranga 2024–28 representation arrangement; not included in the 2025 election statistics."
"rotorua","Rotorua Lakes","territorial authority","Bay of Plenty","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"whakatane","Whakatāne","territorial authority","Bay of Plenty","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"kawerau","Kawerau","territorial authority","Bay of Plenty","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"opotiki","Ōpōtiki","territorial authority","Bay of Plenty","7","1","8","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"gisborne","Gisborne","territorial authority","Gisborne","13","1","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"wairoa","Wairoa","territorial authority","Hawke's Bay","6","1","7","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"hastings","Hastings","territorial authority","Hawke's Bay","15","1","16","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"napier","Napier City","territorial authority","Hawke's Bay","11","1","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"chb","Central Hawke's Bay","territorial authority","Hawke's Bay","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"newplymouth","New Plymouth","territorial authority","Taranaki","14","1","15","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"stratford","Stratford","territorial authority","Taranaki","11","1","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"staranaki","South Taranaki","territorial authority","Taranaki","13","1","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"ruapehu","Ruapehu","territorial authority","Manawatū-Whanganui","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"whanganui","Whanganui","territorial authority","Manawatū-Whanganui","12","1","13","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"rangitikei","Rangitīkei","territorial authority","Manawatū-Whanganui","11","1","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"manawatu","Manawatū","territorial authority","Manawatū-Whanganui","11","1","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"palmy","Palmerston North","territorial authority","Manawatū-Whanganui","15","1","16","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"tararua","Tararua","territorial authority","Manawatū-Whanganui","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"horowhenua","Horowhenua","territorial authority","Manawatū-Whanganui","12","1","13","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"kapiti","Kāpiti Coast","territorial authority","Wellington","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"porirua","Porirua City","territorial authority","Wellington","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"upperhutt","Upper Hutt City","territorial authority","Wellington","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"hutt","Hutt City","territorial authority","Wellington","13","1","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"wellington","Wellington City","territorial authority","Wellington","15","1","16","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"masterton","Masterton","territorial authority","Wellington","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"carterton","Carterton","territorial authority","Wellington","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"swairarapa","South Wairarapa","territorial authority","Wellington","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"tasman","Tasman","territorial authority","Nelson-Tasman","14","1","15","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"nelson","Nelson City","territorial authority","Nelson-Tasman","12","1","13","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"marlborough","Marlborough","territorial authority","Marlborough","14","1","15","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"buller","Buller","territorial authority","West Coast","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"grey","Grey District","territorial authority","West Coast","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"westland","Westland","territorial authority","West Coast","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"kaikoura","Kaikōura","territorial authority","Canterbury","7","1","8","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"hurunui","Hurunui","territorial authority","Canterbury","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"waimakariri","Waimakariri","territorial authority","Canterbury","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"christchurch","Christchurch City","territorial authority","Canterbury","16","1","17","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"selwyn","Selwyn","territorial authority","Canterbury","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"ashburton","Ashburton","territorial authority","Canterbury","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"timaru","Timaru","territorial authority","Canterbury","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"mackenzie","Mackenzie","territorial authority","Canterbury","7","1","8","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"waimate","Waimate","territorial authority","Canterbury","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"waitaki","Waitaki","territorial authority","Otago","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"centralotago","Central Otago","territorial authority","Otago","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"qldc","Queenstown-Lakes","territorial authority","Otago","11","1","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"dunedin","Dunedin City","territorial authority","Otago","14","1","15","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"clutha","Clutha","territorial authority","Otago","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"southlandd","Southland District","territorial authority","Southland","12","1","13","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"gore","Gore","territorial authority","Southland","11","1","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"invercargill","Invercargill City","territorial authority","Southland","12","1","13","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"chathams","Chatham Islands","territorial authority","Chatham Islands","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"regional-northland","Northland Regional Council","regional council","Northland","9","0","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-waikato","Waikato Regional Council","regional council","Waikato","14","0","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-bay-of-plenty","Bay of Plenty Regional Council","regional council","Bay of Plenty","14","0","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-hawke-s-bay","Hawke's Bay Regional Council","regional council","Hawke's Bay","11","0","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-taranaki","Taranaki Regional Council","regional council","Taranaki","11","0","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-manawat-whanganui","Manawatū-Whanganui Regional Council","regional council","Manawatū-Whanganui","14","0","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-wellington","Greater Wellington Regional Council","regional council","Wellington","14","0","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-west-coast","West Coast Regional Council","regional council","West Coast","7","0","7","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-canterbury","Canterbury Regional Council","regional council","Canterbury","14","0","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-otago","Otago Regional Council","regional council","Otago","12","0","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
"regional-southland","Southland Regional Council","regional council","Southland","12","0","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","Regional councils do not elect mayors; their chair is selected by council members."
